ExperimentID,Tray Location,Pot Location,Ecotype ID,Ecotype Name,Plant ID,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9B1,7507,PHW-36,35657,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9B2,328,TOU-A1-62,35658,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9B3,8389,Ta-0,35659,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9B4,7504,PHW-33,35660,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9B5,5202,UKSE06-414,35661,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9C1,8236,HSm,35662,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9C2,7277,Ob-1,35663,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9C3,8308,HR-10,35664,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9C4,7078,Co-2,35665,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9C5,8253,An-1,35666,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9D1,7328,Sf-2,35667,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9D2,8281,cvi,35668,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9D3,8324,Ler-1,35669,,,,,,,,,,,,,,,,,,,
BVZ0072,9,9D4,8279,Col-0,35670,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10A1,8271,Bu-0,35671,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10A2,6729,CIBC-4,35672,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10A3,8324,Ler-1,35673,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10A4,8281,cvi,35674,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10A5,7021,Bla-3,35675,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10B1,6190,TDr-3,35676,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10B2,7113,Ei-4,35677,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10B3,7265,Nd-0,35678,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10B4,8258,Ba4-1,35679,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10B5,7351,Ty-0,35680,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10C1,5606,UKNW06-436,35681,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10C2,7158,Gr-5,35682,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10C3,8393,Ts-5,35683,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10C4,7110,Ede-1,35684,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10C5,6039,Hovdala-2,35685,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10D1,7328,Sf-2,35686,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10D2,8281,cvi,35687,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10D3,8324,Ler-1,35688,,,,,,,,,,,,,,,,,,,
BVZ0072,10,10D4,8279,Col-0,35689,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11A1,7004,Bs-2,35690,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11A2,259,PAR-4,35691,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11A3,7239,Li-2,35692,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11A4,8400,Van-0,35693,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11A5,178,MIB-28,35694,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11B1,7013,Bd-0,35695,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11B2,8310,Hs-0,35696,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11B3,7508,PHW-37,35697,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11B4,7210,La-1,35698,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11B5,7291,Pa-2,35699,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11C1,6994,Ann-1,35700,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11C2,7282,Or-0,35701,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11C3,7355,Tiv-1,35702,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11C4,7176,Is-1,35703,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11C5,6727,CIBC-2,35704,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11D1,7328,Sf-2,35705,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11D2,8281,cvi,35706,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11D3,8324,Ler-1,35707,,,,,,,,,,,,,,,,,,,
BVZ0072,11,11D4,8279,Col-0,35708,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12A1,8395,Tu-0,35709,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12A2,7015,Bla-1,35710,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12A3,7260,Nw-2,35711,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12A4,7145,Ge-1,35712,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12A5,,lut2,35713,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12B1,8340,Ms-0,35714,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12B2,8334,Lu-1,35715,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12B3,7238,Ll-1,35716,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12B4,7309,Po-1,35717,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12B5,6016,Eds-1,35718,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12C1,8303,H55,35719,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12C2,7376,Tu-1,35720,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12C3,7430,Nc-1,35721,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12C4,383,TOU-J-3,35722,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12C5,7413,Wil-2,35723,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12D1,7328,Sf-2,35724,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12D2,8281,cvi,35725,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12D3,8324,Ler-1,35726,,,,,,,,,,,,,,,,,,,
BVZ0072,12,12D4,8279,Col-0,35727,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13A1,8352,Oy-0,35728,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13A2,7373,Tsu-0,35729,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13A3,7165,Hn-0,35730,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13A4,7135,Fr-4,35731,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13A5,5122,UKSE06-278,35732,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13B1,8279,Col-0,35733,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13B2,8313,Jm-0,35734,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13B3,8260,Bay-0,35735,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13B4,7109,Ema-1,35736,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13B5,7028,Bch-1,35737,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13C1,7411,Wl-0,35738,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13C2,8364,Ra-0,35739,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13C3,8261,Bg-2,35740,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13C4,,npq4,35741,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13C5,260,PAR-5,35742,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13D1,7328,Sf-2,35743,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13D2,8281,cvi,35744,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13D3,8324,Ler-1,35745,,,,,,,,,,,,,,,,,,,
BVZ0072,13,13D4,8279,Col-0,35746,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14A1,7026,Boot-1,35747,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14A2,7405,Wc-2,35748,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14A3,5832,App1-16,35749,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14A4,7344,Sg-1,35750,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14A5,7418,Zu-1,35751,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14B1,7029,Bch-3,35752,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14B2,8338,Mr-0,35753,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14B3,374,TOU-H-13,35754,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14B4,6008,Duk,35755,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14B5,8242,Lillo-1,35756,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14C1,8296,Gd-1,35757,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14C2,8273,C24,35758,,,,,,,,,,,,,,,,,,,
BVZ0072,14,14C3,8426,Ull1-1,35759,,,,,,,,,,,,,,,,,,,
